street_name,place,address,lat,lon,importance
EUNOS RD 5,EUNOS RD 5 Singapore,"Eunos Road 5, Geylang, Southeast, 048542, Singapore",1.318368,103.8965744,0.41
HOUGANG AVE 3,HOUGANG AVE 3 Singapore,"Hougang Avenue 3, Hougang, Northeast, 530024, Singapore",1.3653211,103.8911458,0.51
HOUGANG AVE 5,HOUGANG AVE 5 Singapore,"Hougang Avenue 5, Hougang, Northeast, 530358, Singapore",1.3683249,103.895456,0.51
HOUGANG AVE 1,HOUGANG AVE 1 Singapore,"Hougang Avenue 1, Hougang, Northeast, 530110, Singapore",1.355611,103.8899838,0.51
HOUGANG ST 22,HOUGANG ST 22 Singapore,"Hougang Street 22, Hougang, Northeast, 530104, Singapore",1.3556904,103.8903121,0.51
HOUGANG AVE 10,HOUGANG AVE 10 Singapore,"Hougang Avenue 10, Hougang, Northeast, 540424, Singapore",1.3745786,103.8949557,0.51
LOR AH SOO,lorong AH SOO Singapore,"Lorong Ah Soo, Northeast, 530145, Singapore",1.3520481,103.8845867,0.685
HOUGANG ST 11,HOUGANG ST 11 Singapore,"Hougang Street 11, Hougang, Northeast, 534075, Singapore",1.35194,103.880969,0.51
HOUGANG AVE 7,HOUGANG AVE 7 Singapore,"Hougang Avenue 7, Hougang, Northeast, 534037, Singapore",1.3638894,103.8961696,0.51
HOUGANG ST 21,HOUGANG ST 21 Singapore,"Hougang Street 21, Hougang, Northeast, 530211, Singapore",1.3593831,103.8887502,0.51
TEBAN GDNS RD,TEBAN GDNS RD Singapore,"Teban Gardens Road, Teban Gardens, Jurong East, Southwest, 600049, Singapore",1.3212283,103.7384577,0.41
JURONG EAST AVE 1,JURONG EAST AVE 1 Singapore,"Jurong East Avenue 1, Jurong East, Southwest, 600245, Singapore",1.3414071,103.7420766,0.61
JURONG EAST ST 32,JURONG EAST ST 32 Singapore,"Jurong East Street 32, Jurong East, Southwest, 609477, Singapore",1.3446546,103.733661,0.61
JURONG EAST ST 13,JURONG EAST ST 13 Singapore,"Jurong East Street 13, Jurong East, Southwest, 609650, Singapore",1.3376412,103.7371532,0.61
JURONG EAST ST 21,JURONG EAST ST 21 Singapore,"Jurong East Street 21, Jurong East, Southwest, 601287, Singapore",1.3379048,103.7434385,0.61
JURONG EAST ST 24,JURONG EAST ST 24 Singapore,"Jurong East Street 24, Jurong East, Southwest, 600244, Singapore",1.3426231,103.7416354,0.61
JURONG EAST ST 31,JURONG EAST ST 31 Singapore,"Jurong East Street 31, Jurong East, Southwest, 300342, Singapore",1.3463532,103.7317671,0.61
PANDAN GDNS,PANDAN GDNS Singapore,"Pandan Gardens, Jurong East, Southwest, Singapore",1.31941495,103.7483729,0.397641223
YUNG KUANG RD,YUNG KUANG RD Singapore,"Yung Kuang Road, Jurong West, Southwest, 611166, Singapore",1.3316204,103.7220244,0.41
HO CHING RD,HO CHING RD Singapore,"Ho Ching Road, Jurong East, Southwest, 618645, Singapore",1.3342656,103.7250118,0.41
HU CHING RD,HU CHING RD Singapore,"Hu Ching Road, Jurong East, Southwest, 612138, Singapore",1.3289999,103.724826,0.41
BOON LAY DR,BOON LAY DR Singapore,"Boon Lay Drive, Boon Lay, Jurong West, Southwest, 649925, Singapore",1.3428477,103.711129,0.51
BOON LAY AVE,BOON LAY AVE Singapore,"Boon Lay Avenue, Boon Lay, Jurong West, Southwest, 640213, Singapore",1.3499177,103.7128689,0.51
BOON LAY PL,BOON LAY PL Singapore,"Boon Lay Place, Jurong West, Southwest, Singapore",1.3475171,103.7138799,0.66
JURONG WEST ST 52,JURONG WEST ST 52 Singapore,"Jurong West Street 52, Jurong West, Southwest, 640517, Singapore",1.3460568,103.7194629,0.61
JURONG WEST ST 41,JURONG WEST ST 41 Singapore,"Jurong West Street 41, Jurong West, Southwest, 640480, Singapore",1.3465505,103.723847,0.61
JURONG WEST AVE 1,JURONG WEST AVE 1 Singapore,"Jurong West Avenue 1, Jurong West, Southwest, 640536, Singapore",1.3501171,103.7164424,0.61
JURONG WEST ST 42,JURONG WEST ST 42 Singapore,"Jurong West Street 42, Jurong West, Southwest, 640433, Singapore",1.3529581,103.7234155,0.61
JLN BATU,jalan BATU Singapore,"Jalan Batu, Kallang, Southeast, 436593, Singapore",1.301128,103.8829812,0.41
ST. GEORGE'S RD,ST. GEORGE'S RD Singapore,"Saint George's Road, Kallang, Singapore, Central, 328147, Singapore",1.3219991,103.8634944,0.41
NTH BRIDGE RD,north BRIDGE RD Singapore,"North Bridge Road, Kallang, Singapore, Central, 190465, Singapore",1.305736,103.8644023,0.41
FRENCH RD,FRENCH RD Singapore,"French Road, Kallang, Singapore, Central, 208737, Singapore",1.3081941,103.8615047,0.31
BEACH RD,BEACH RD Singapore,"Beach Road, Singapore, Central, 190018, Singapore",1.3030517,103.8622669,0.522408728
WHAMPOA DR,WHAMPOA DR Singapore,"Whampoa Drive, Novena, Singapore, Central, 320086, Singapore",1.3227157,103.855799,0.41
UPP BOON KENG RD,upper BOON KENG RD Singapore,"Upper Boon Keng Road, Kallang, Singapore, Central, 381008, Singapore",1.3133946,103.8695485,0.51
BENDEMEER RD,BENDEMEER RD Singapore,"Bendemeer Road, Kallang, Singapore, Central, 330053, Singapore",1.3243486,103.8676945,0.31
